Intra_Fair2,Intra_Fair3,Intra_Fair4,Inter_Fair1,Inter_Fair2,Inter_Fair3,Customer_Care,Trial
9.321434504221449e-15,9.507948316352518e-15,7.620463224417526e-8,8.443642084883201e-15,8.47615725774346e-15,0.009900981586935507,1.48165477248213,1
1.8452754014560756e-14,1.8828537566395903e-14,1.0474321369137399e-7,1.995944459825648e-15,2.467152038286988e-15,0.009900992882706742,2.1564538162316182,2
4.3111910043094355e-15,4.148708549213376e-15,5.144435941532161e-8,5.280902331985188e-16,2.490658807303683e-16,0.009900990760575296,3.335556932678041,3
1.3317230462338932e-12,1.331903225896587e-12,8.759982284560903e-7,1.8142596857590177e-14,1.8339330304871347e-14,0.00990098221028075,3.9432927575825025,4
1.3022011851276619e-12,1.302025989957401e-12,8.872229564881551e-7,6.396327418587981e-13,6.394999090932185e-13,0.009900912747531864,1.9173706329001479,5
2.8307246003653715e-15,2.7203904863644646e-15,4.1573554358412716e-8,5.786697485069865e-18,5.786697278274712e-18,0.009900989620945148,1.9509565702205875,6
5.751656571663364e-14,5.785783259116488e-14,1.7011970259294908e-7,1.9018139173608713e-14,1.906250907549161e-14,0.00990100760418159,2.0802571032074044,7
6.209561883617462e-15,5.980687176244431e-15,5.973145292016326e-8,2.0814578522296208e-16,2.137389604950027e-16,0.009900990605526041,1.9716515711007894,8
2.2191308171473982e-13,2.2164320774273383e-13,3.717062254540584e-7,2.118516468129049e-14,2.109212983814697e-14,0.009900969705066254,1.5542044700031195,9
1.969785322114055e-12,1.9697094224562667e-12,1.0539486008504896e-6,5.481145961223885e-14,5.4523311232621116e-14,0.009900925712742356,1.5389780959581676,10
2.8098196343153815e-13,2.8130141680422163e-13,3.909374927535065e-7,4.8732689946832434e-14,4.883370323153416e-14,0.009900998249886935,1.4318724605087485,11
2.142159073114284e-12,2.1418783647332617e-12,1.1138034782597885e-6,9.59844851663352e-15,9.253138992073054e-15,0.009900934006824635,2.2147674174228134,12
1.7949861914039816e-14,1.784372907750159e-14,1.0562626961661306e-7,9.564915656848192e-17,5.124023409455056e-17,0.009900985748020168,4.06802254597234,13
9.144012756504644e-13,9.141367370860536e-13,7.320867512190032e-7,6.019889583564267e-14,6.012706707113859e-14,0.009901008184277645,2.789411894366524,14
5.701333470234864e-15,5.8449864861456e-15,5.756003537000724e-8,2.825089037380893e-15,2.9702750571947064e-15,0.009900993726933927,2.414341233771108,15
6.26768668867986e-15,6.41106001695839e-15,6.200515812751387e-8,1.1693642612833258e-15,1.3397398034862856e-15,0.009900986534692048,3.192422860729749,16
3.872195036923135e-14,3.857178550960591e-14,1.486608619604433e-7,1.0884284222000061e-14,1.0498610586417832e-14,0.00990099021674988,1.7809452738957878,17
6.324601626042959e-16,1.0772832583021128e-15,2.1331447687263e-8,6.887822945707592e-17,1.7537083380978893e-16,0.009900987666535233,2.033573955293071,18
9.65937772734678e-15,9.480867264836523e-15,7.817345933550757e-8,8.05175255757455e-16,9.267726454524324e-16,0.009900992618173607,2.5160220078951925,19
1.0540462900234844e-11,1.0540599579080577e-11,2.4823667713640205e-6,4.6235547986805205e-12,4.623409695583909e-12,0.009900815113544695,1.4809438042947751,20
4.404351380488597e-13,4.405270077928903e-13,5.075911850903785e-7,6.41575526484532e-14,6.42952418509661e-14,0.009900997984796205,2.014170966425617,21
3.5192924973287715e-12,3.5192317171243887e-12,1.4692167710631823e-6,2.9208978194589547e-13,2.9206507351836803e-13,0.009901011968015315,3.1830174123428723,22
2.74499187923527e-14,2.701762312133577e-14,1.3055726256938393e-7,1.081383547930785e-15,6.061554680282986e-16,0.009900983334141106,2.0279446980647724,23
5.23828059030014e-16,2.5332805688410663e-16,1.506557741921038e-8,8.884358815269387e-17,2.2230206651920027e-17,0.009900990265788733,2.277103756033231,24
2.2722052635418456e-14,2.257505220088671e-14,1.0766648661502294e-7,2.5953769909556424e-15,2.5782622270352262e-15,0.00990099178188844,2.989376484189282,25
5.436707683135718e-13,5.435047178804162e-13,5.115504097910474e-7,7.687694762084421e-14,7.682231561040286e-14,0.009901003300057977,3.146217983024796,26
1.2131802971893878e-14,1.2159878260095448e-14,8.28177538276153e-8,6.503237694523025e-16,7.929661724865683e-16,0.009900987130609398,3.7432120772143795,27
2.352068883586603e-13,2.356163409936928e-13,3.5720684527868067e-7,6.415447011026968e-14,6.425391551051626e-14,0.009901008949975334,1.656563070918564,28
2.756990446257872e-13,2.7574895176468776e-13,3.7980273885010363e-7,2.5537047765131886e-15,2.3756853906185243e-15,0.009900990310251268,2.4357697509291665,29
2.8356760333989617e-12,2.8359424316136203e-12,1.3227920076986516e-6,7.927953444699528e-14,7.95711888283306e-14,0.009900950667977904,1.466829628671683,30
1.4168474245558025e-15,1.0922566627131216e-15,2.6816564543558378e-8,2.651539431114e-16,2.0904880671715764e-17,0.00990099077995845,2.8523982375810464,31
3.583793026651287e-11,3.5837956608729313e-11,4.619875794744735e-6,5.369664149740231e-13,5.371075207103986e-13,0.009900971128939461,2.07318746628299,32
1.235268663616132e-12,1.2354888173047056e-12,8.433914337749607e-7,7.714360934215872e-14,7.724401689242405e-14,0.00990095194766629,2.070912797666828,33
5.795134232862424e-14,5.786713251529387e-14,1.8183454772518616e-7,2.2905454868047317e-16,1.928302020005753e-16,0.009900984527077442,2.241948063235994,34
9.759312921748131e-15,9.558568262594966e-15,7.455379605331867e-8,2.6498674013110098e-15,2.523771810062414e-15,0.00990099012669457,1.5237294928126985,35
3.1242147625600233e-14,3.1241211918891314e-14,1.2851374760849843e-7,2.574023932247517e-15,2.8660688023889665e-15,0.009900990612561455,1.6951234396679378,36
2.961054541081027e-14,2.9542138143252394e-14,1.3336156713058703e-7,2.444885831739608e-15,2.684344620114465e-15,0.009900985951848185,3.028841745580393,37
3.3878130584600835e-15,3.1625028530027895e-15,4.433001507102868e-8,3.179638361289479e-15,2.859974989286068e-15,0.009900984744103523,1.7789199442328318,38
2.0550470691344447e-15,1.7641200164620858e-15,3.174869667456484e-8,5.989832479802861e-16,2.2258179586715795e-16,0.009900987816596582,3.675559978335338,39
2.204873667475887e-14,2.189389442773029e-14,1.0773350220326766e-7,7.370799848447683e-15,7.195325882586302e-15,0.009900994127393786,2.9831464575474373,40
2.155595304425464e-14,2.1720536953682123e-14,1.113234884390709e-7,8.990616151671507e-15,9.305858785931304e-15,0.00990099184092361,1.3807277246413634,41
6.275692472726299e-13,6.27648782480531e-13,6.232214452612665e-7,3.756070701383051e-14,3.775682722249276e-14,0.009900960775101313,1.8814333199439375,42
1.1418864787518972e-13,1.140288133721417e-13,2.6581556586763166e-7,1.2270825924396931e-14,1.226510213896053e-14,0.009900993769738516,1.8662619773762579,43
1.0052888558355128e-12,1.005212648789468e-12,7.388656942785548e-7,1.4476453985885423e-15,1.4167300360463526e-15,0.009900981882458963,2.5047121020495124,44
8.892931939005387e-12,8.892617313805206e-12,2.323097562134157e-6,1.8509998894004277e-14,1.8016337186795275e-14,0.00990091771325825,1.2368355975448695,45
3.912581993746974e-15,3.947797309119733e-15,4.6141992814234165e-8,5.823316075955873e-16,5.27891430264459e-16,0.009900988844948215,1.8651425927533132,46
1.5579393540692055e-13,1.5586790679420426e-13,3.0307291670916935e-7,1.1070685534920843e-14,1.1355818874293049e-14,0.009900993222740278,4.457512982995938,47
3.3835554255131417e-16,6.13247463137422e-17,1.0383439168875978e-8,1.5742575633024969e-16,9.081237489409933e-17,0.009900989832772326,2.3855835123631004,48
1.0327966437361804e-13,1.0353268308877585e-13,2.548870371790208e-7,4.298663639805939e-15,4.47209842016892e-15,0.009900980755912746,2.862028827013444,49
5.74678535711533e-15,5.821738875461795e-15,5.7761744666294515e-8,8.465272752022344e-17,3.8164094149885332e-16,0.009900991952740159,2.594925611878486,50
1.1632698971325554e-13,1.1653121535489062e-13,2.6718597105780105e-7,9.112719812959058e-14,9.119364283504456e-14,0.009900963141577783,2.619684002161806,51
2.9846910219968774e-13,2.986531972510044e-13,4.314343761765472e-7,1.2786439985976576e-15,1.3858912274154936e-15,0.009900992473418715,3.227693584898754,52
1.680975273476911e-14,1.6807800747342163e-14,1.031761681722559e-7,8.317079804950448e-16,5.449685839367836e-16,0.00990098552635333,2.541237192958092,53
5.481081521074841e-14,5.459056547922652e-14,1.833527393490776e-7,1.0286845613045348e-14,9.89700840024578e-15,0.009900996695668018,2.6572193561525386,54
3.107442336589418e-11,3.1074727827821307e-11,4.36153052727938e-6,2.84909288463866e-13,2.8525676011943366e-13,0.009900969425879726,1.5211820917408805,55
1.9514112440507038e-12,1.9511825673048567e-12,9.863538355643869e-7,9.999554425476277e-14,9.973355958468519e-14,0.009900938131698324,1.741464792338088,56
1.2200183101627853e-12,1.219962956729089e-12,8.728984492191462e-7,8.71249975287776e-13,8.712455313294182e-13,0.009900877481678338,1.4888198762078695,57
3.5545591934660007e-12,3.554681097558385e-12,1.398755817878198e-6,1.295925088025179e-14,1.2842333056422817e-14,0.009900954119478389,2.472395508775766,58
2.348725982298178e-13,2.350626377107127e-13,3.783139881867175e-7,8.795097172289176e-14,8.797495366084826e-14,0.009901005474229854,2.310129924571798,59
2.0939825066247322e-13,2.0948883956563264e-13,3.5786277539292795e-7,1.4786070865537573e-15,1.4967905876779267e-15,0.009900998438909413,1.6293680412944478,60
1.5660516545204656e-15,1.5869817208566003e-15,3.092031789463709e-8,2.4110826096254284e-16,1.8077648640978318e-16,0.00990099079463528,2.242060420097893,61
7.616377413839279e-12,7.61678248566226e-12,2.1034286943364315e-6,3.6812739037856397e-13,3.684610484090696e-13,0.00990098624346927,1.3960389891522316,62
3.9868565259168826e-14,3.971221982247342e-14,1.582244975391734e-7,2.2963024289488068e-15,2.2112030007367475e-15,0.009900992153187533,2.9934576031408913,63
4.3935843631712325e-12,4.39334874165519e-12,1.6074068063359515e-6,2.231274757205424e-13,2.2307109704875448e-13,0.009900994801843602,2.0373547474922997,64
4.763941623677029e-15,5.0282255117503665e-15,5.2898788433810916e-8,4.0536307691419404e-17,2.6077075605887336e-17,0.009900988636981582,2.2132550793941568,65
1.699191113535501e-12,1.6993122733506225e-12,1.020010068876979e-6,2.2878860250347573e-15,2.0641881639979183e-15,0.00990098094213946,2.0383688163403892,66
3.0200392859669714e-13,3.0195744806076325e-13,4.2855652223762663e-7,2.1713705650167873e-16,2.4915661913484294e-16,0.009900975338028521,2.1601278648872135,67
8.307263212693544e-14,8.314994209458076e-14,2.2343497984115294e-7,6.391017839674325e-15,6.531978468717985e-15,0.009900981378270682,2.12045013670605,68
2.5202851493363295e-13,2.5185748971715945e-13,3.636914439322103e-7,3.254521465720864e-14,3.25360556634802e-14,0.009900990470712252,1.582438876834986,69
8.492628387797037e-15,8.671419731726562e-15,7.276375647797718e-8,8.180481382350258e-16,8.694908744153354e-16,0.009900986251619455,2.151765473512861,70
7.675242450046947e-13,7.676483567190494e-13,6.412593229188214e-7,3.76453310712707e-15,3.9626190013272094e-15,0.009900980102436917,1.6229467741028225,71
2.201571140277591e-15,2.7500235892552773e-15,3.888644780661055e-8,2.4542433885197305e-16,6.205496117529707e-16,0.009900991846233512,2.4749170323536234,72
5.718329919534416e-14,5.752494697000386e-14,1.8790377209564938e-7,1.527727437063708e-15,2.0027817428631094e-15,0.00990098990181228,2.2570719407282667,73
6.238271135640108e-13,6.239084343597163e-13,6.162127961629037e-7,4.320215086335806e-13,4.3219846233953104e-13,0.009900903058823265,1.4297880670754994,74
3.279637581655032e-14,3.3017641081318814e-14,1.3370860819580011e-7,5.547848818497382e-16,5.776426085618774e-16,0.009900983634965898,2.102269426374819,75
1.0740497148302345e-13,1.0780066131629419e-13,2.593128056714773e-7,6.778786963299656e-14,6.810343879845753e-14,0.009900968576998181,2.984087858984625,76
6.277846831147423e-14,6.258792382953618e-14,1.9695330440050134e-7,1.054821906944214e-14,1.0301769936529275e-14,0.009900983836512986,1.538323664622705,77
7.620945536109809e-14,7.629081255804451e-14,1.9835512601369203e-7,3.5863325885305915e-15,3.852161557343949e-15,0.009900984416871192,1.2648823381804326,78
2.7874289365828866e-13,2.7932185853954423e-13,4.1121621404089155e-7,1.954544152223686e-14,2.0022908674178408e-14,0.009900980293545782,2.085591090201299,79
7.536067566249996e-15,7.807214144378745e-15,6.752388748493965e-8,1.4119723843305232e-15,1.4524030569218166e-15,0.009900986966913508,2.0875599198272328,80
3.6064595763119894e-14,3.607769306830033e-14,1.478190086401917e-7,2.5005021341703336e-14,2.5110448276865188e-14,0.009900975876960962,1.6487713028623145,81
1.4785683096067193e-11,1.4786113066593067e-11,2.928626886711669e-6,6.34283641023098e-13,6.346571589417938e-13,0.009900852803031688,1.8547500769234095,82
3.4060246347559876e-15,3.188700377686393e-15,4.127589468378922e-8,8.123970752093575e-17,1.852138173964851e-16,0.009900991653259139,1.908806207600738,83
1.6271811086399564e-13,1.6246622529892674e-13,3.1851244899498334e-7,1.2007965567835684e-14,1.1706397512885699e-14,0.009900993842043057,3.946396644998596,84
4.45748198839676e-13,4.4587187649199686e-13,5.154512220395679e-7,1.7249796390855122e-15,1.5390761002963069e-15,0.009900978867697252,2.0026874441706055,85
2.6961408253437868e-12,2.695970252855836e-12,1.2907464419909195e-6,7.779717448501576e-14,7.776726323701915e-14,0.00990097634031472,1.2770459304913797,86
7.115759947201895e-13,7.111976027502455e-13,6.177242475522074e-7,2.3174482067833384e-14,2.2855362484364665e-14,0.009900982934729931,1.7930228826565235,87
1.2357363068746574e-13,1.234732738215344e-13,2.4235994132451093e-7,1.9148963809358834e-14,1.917593347074831e-14,0.009900999478149469,2.7233964145839615,88
1.4227539993713494e-15,1.5082348001974428e-15,2.992034446125929e-8,2.4767366958499257e-16,2.1861999777972297e-16,0.009900991144339805,2.2055061519240344,89
3.0885311734927047e-14,3.048781871806586e-14,1.3885741617064856e-7,5.3453075243772406e-15,5.112993154510008e-15,0.009900993549333534,2.6646861804427764,90
7.250023140875548e-13,7.248613065328859e-13,5.673104014730739e-7,9.025370474656679e-14,9.026854341384392e-14,0.009900989340783355,1.5636312534211145,91
5.848530889160638e-14,5.842115219684349e-14,1.6971929168788552e-7,2.0854631567085536e-15,2.1111799306375863e-15,0.009900982717519581,2.5364621850991202,92
5.092004005878798e-13,5.093848405086609e-13,5.6049049130161e-7,2.629514718953838e-13,2.632499107723986e-13,0.009900958760235903,1.6109985516519167,93
1.580968557201681e-14,1.5520805784743077e-14,9.424639454567221e-8,4.6270141089244965e-15,4.476814878290244e-15,0.009900983555512704,1.876683958939819,94
3.729381012175912e-15,3.598091061523196e-15,4.707044930380673e-8,2.917163872076278e-17,5.137609954413816e-17,0.009900989770601047,2.7429924226761804,95
1.2148419795394268e-11,1.2148394872466234e-11,2.747122519959527e-6,5.922128325691824e-15,5.935053830091243e-15,0.009900925124747162,1.5082701904369946,96
6.448368412841918e-13,6.450432488138775e-13,5.812425915823193e-7,3.782082471741322e-15,3.834047347485332e-15,0.009900994294330237,2.7165775316229093,97
1.809784714083978e-15,1.6985200953475873e-15,3.0544077335963e-8,7.219151194720988e-17,1.388048931765651e-16,0.009900990355823036,2.090049990923869,98
1.3149399241620463e-12,1.3147349895591282e-12,8.829217566310945e-7,4.9588808672404797e-14,4.9398669813369365e-14,0.009900977267647503,1.2664235246625817,99
5.569851938517169e-13,5.569235085502782e-13,5.849757447906505e-7,1.5925723717719346e-13,1.5939901201665767e-13,0.009900952521813569,1.8343556189943238,100
